Facility,Longitude,Latitude,Year Built,Capacity,Population Served,Receiving Waterbody
26th Ward,-73.87591565,40.65349344,1897,85 MGD,"283,428",Jamaica Bay
Bowery Bay,-73.8945192,40.77914351,1939,150 MGD,"848,328",Upper East River
Coney Island,-73.9327058,40.59058468,1886,110 MGD,"596,326",Jamaica Bay
Hunts Point,-73.88377819,40.80501918,1952,200 MGD,"684,569",Upper East River
Jamaica,-73.80747383,40.6615888,1903,100 MGD,"728,123",Jamaica Bay
Newtown Creek,-73.94617484,40.73186298,1967,310 MGD,"1,068,012",East River
North River,-73.95800153,40.8231683,1986,170 MGD,"588,772",Hudson River
Oakwood Beach,-74.11665888,40.55179935,1956,39.9 MGD,"244,918",Lower New York Bay
Rockaway,-73.82982631,40.58421378,1952,45 MGD,"90,474",Jamaica Bay
Owls Head,-74.03363465,40.64248113,1952,120 MGD,"758,007",Upper New York Bay
Wards Island,-73.92447937,40.79026484,1937,275 MGD,"1,061,558",Upper East River
Tallman Island,-73.83854063,40.79365818,1939,80 MGD,"410,812",Upper East River
Port Richmond,-74.12505231,40.63792078,1953,60 MGD,"198,128",Kill Van Kull
Red Hook,-73.97894414,40.70380806,1987,60 MGD,"192,050",Lower East River
